Airline Name,Source,Destination,Departure_Time,Arrival_Time,Duration,Total_Stops,Price
Indigo,Delhi,Bangalore,03:50,06:40,02h 50m,non-stop,"9,419"
Indigo,Delhi,Bangalore,22:55,01:45,02h 50m,non-stop,"9,419"
GO FIRST,Delhi,Bangalore,05:50,08:30,02h 40m,non-stop,"9,261"
AirAsia,Delhi,Bangalore,21:40,00:30,02h 50m,non-stop,"9,419"
GO FIRST,Delhi,Bangalore,20:30,23:20,02h 50m,non-stop,"9,261"
SpiceJet,Delhi,Bangalore,05:50,08:40,02h 50m,non-stop,"9,419"
Indigo,Delhi,Bangalore,06:00,08:35,02h 35m,non-stop,"9,419"
AirAsia,Delhi,Bangalore,15:30,20:45,05h 15m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,05:20,11:40,06h 20m,1-stop,"9,419"
AirAsia,Delhi,Bangalore,06:05,13:00,06h 55m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,14:00,21:55,07h 55m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,13:35,22:20,08h 45m,1-stop,"9,419"
AirAsia,Delhi,Bangalore,04:55,13:50,08h 55m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,22:45,07:40,08h 55m,1-stop,"9,419"
AirAsia,Delhi,Bangalore,14:55,00:05,09h 10m,1-stop,"9,419"
AirAsia,Delhi,Bangalore,15:30,01:20,09h 50m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,20:55,07:40,10h 45m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,10:55,21:55,11h 00m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,19:50,07:40,11h 50m,1-stop,"9,419"
AirAsia,Delhi,Bangalore,06:05,18:45,12h 40m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,18:45,07:40,12h 55m,1-stop,"9,419"
GO FIRST,Delhi,Bangalore,07:00,21:55,14h 55m,1-stop,"9,419"
Indigo,Delhi,Bangalore,21:30,00:15,02h 45m,non-stop,"9,682"
Indigo,Delhi,Bangalore,20:10,23:00,02h 50m,non-stop,"9,682"
SpiceJet,Delhi,Bangalore,19:30,08:25,12h 55m,1-stop,
SpiceJet,Delhi,Bangalore,18:35,08:25,13h 50m,1-stop,
SpiceJet,Delhi,Bangalore,20:25,16:50,20h 25m,1-stop,
SpiceJet,Delhi,Bangalore,14:00,12:20,22h 20m,1-stop,
SpiceJet,Delhi,Bangalore,17:05,16:50,23h 45m,1-stop,
SpiceJet,Delhi,Bangalore,18:55,19:30,24h 35m,1-stop,
SpiceJet,Delhi,Bangalore,11:30,12:20,24h 50m,1-stop,
SpiceJet,Delhi,Bangalore,07:00,08:25,25h 25m,1-stop,
SpiceJet,Delhi,Bangalore,14:00,15:25,25h 25m,1-stop,
SpiceJet,Delhi,Bangalore,11:00,12:55,25h 55m,1-stop,
Indigo,Delhi,Bangalore,17:50,22:40,04h 50m,1-stop,"9,734"
Indigo,Delhi,Bangalore,05:15,10:15,05h 00m,1-stop,"9,734"
Indigo,Delhi,Bangalore,06:50,12:05,05h 15m,1-stop,"9,734"
Indigo,Delhi,Bangalore,21:05,02:35,05h 30m,1-stop,"9,734"
Indigo,Delhi,Bangalore,19:30,01:15,05h 45m,1-stop,"9,734"
Indigo,Delhi,Bangalore,11:15,18:00,06h 45m,1-stop,"9,734"
Indigo,Delhi,Bangalore,23:20,06:05,06h 45m,1-stop,"9,734"
Indigo,Delhi,Bangalore,10:10,17:20,07h 10m,1-stop,"10,259"
Indigo,Delhi,Bangalore,06:55,09:50,02h 55m,non-stop,"10,312"
AirAsia,Delhi,Bangalore,21:00,23:50,02h 50m,non-stop,"10,576"
Air India,Delhi,Bangalore,21:15,00:05,02h 50m,non-stop,
Indigo,Delhi,Bangalore,08:20,11:00,02h 40m,non-stop,"10,522"
Vistara,Delhi,Bangalore,20:40,23:20,02h 40m,non-stop,"10,680"
AirAsia,Delhi,Bangalore,16:15,23:10,06h 55m,2+-stop,"10,681"
AirAsia,Delhi,Bangalore,10:00,17:30,07h 30m,1-stop,"10,681"
AirAsia,Delhi,Bangalore,07:25,17:30,10h 05m,1-stop,"10,681"
Indigo,Delhi,Bangalore,15:15,20:30,05h 15m,1-stop,"10,784"
Indigo,Delhi,Bangalore,12:45,19:20,06h 35m,1-stop,"10,784"
SpiceJet,Delhi,Bangalore,20:00,22:30,02h 30m,non-stop,
Vistara,Delhi,Bangalore,08:05,10:50,02h 45m,non-stop,"11,205"
Indigo,Delhi,Bangalore,08:30,14:25,05h 55m,1-stop,"11,309"
Indigo,Delhi,Bangalore,06:40,13:10,06h 30m,1-stop,"11,309"
Indigo,Delhi,Bangalore,18:00,01:15,07h 15m,1-stop,"11,309"
Indigo,Delhi,Bangalore,07:20,14:25,07h 05m,1-stop,"11,834"
AirAsia,Delhi,Bangalore,20:00,02:30,06h 30m,1-stop,"11,836"
AirAsia,Delhi,Bangalore,14:55,22:55,08h 00m,1-stop,"11,836"
Vistara,Delhi,Bangalore,19:50,22:40,02h 50m,non-stop,"11,940"
Air India,Delhi,Bangalore,09:45,12:30,02h 45m,non-stop,
Indigo,Delhi,Bangalore,07:55,13:10,05h 15m,1-stop,"12,359"
Indigo,Delhi,Bangalore,13:25,19:20,05h 55m,1-stop,"12,359"
AirAsia,Delhi,Bangalore,12:40,00:50,12h 10m,1-stop,"12,518"
SpiceJet,Delhi,Bangalore,08:45,09:00,24h 15m,1-stop,
Indigo,Delhi,Bangalore,18:30,21:15,02h 45m,non-stop,"12,758"
Vistara,Delhi,Bangalore,20:35,08:45,12h 10m,1-stop,"14,141"
Vistara,Delhi,Bangalore,17:35,08:45,15h 10m,1-stop,"14,141"
Vistara,Delhi,Bangalore,20:35,19:30,22h 55m,1-stop,"14,141"
AirAsia,Delhi,Bangalore,10:05,18:10,08h 05m,2+-stop,"13,272"
Indigo,Delhi,Bangalore,09:15,11:55,02h 40m,non-stop,"13,283"
